Property Type,Location,Price (€),Surface (m²),Rooms,Floor,Zip Code,Neighborhood,Address
Apartment,Berlin,949.700 €,150,3,5,10405,Prenzlauer Berg,"Prenzlauer Allee 45 A, Prenzlauer Berg, Berlin"
Apartment,Berlin,530.000 €,106,3,N/A,14059,Charlottenburg,"Charlottenburg, Berlin"
Apartment,Berlin-Wilmersdorf,400.000 €,65,2,4,10709,Wilmersdorf,"Wilmersdorf, Berlin-Wilmersdorf"
Apartment,Berlin,340.000 €,65.4,3,1,10249,Friedrichshain,"Eckertstraße 17, Friedrichshain, Berlin"
Apartment,Berlin,310.000 €,57.3,2,1,10779,Wilmersdorf,"Wilmersdorf, Berlin"
Apartment,Berlin,150.000 €,34.3,2,5,10249,Friedrichshain,"Eckertstraße 17, Friedrichshain, Berlin"
Apartment,Berlin,298.000 €,55.6,2,3,10249,Friedrichshain,"Eckerstraße 17, Friedrichshain, Berlin"
Apartment,Berlin,295.000 €,55.7,2,2,10249,Friedrichshain,"Eckertstraße 17, Friedrichshain, Berlin"
Apartment,Berlin,260.000 €,47.7,2,2,10249,Friedrichshain,"Eckertstraße 17, Friedrichshain, Berlin"
Apartment,Berlin,178.000 €,32.9,1,3,10249,Friedrichshain,"Eckertstraße 17, Friedrichshain, Berlin"
Apartment,Berlin,260.000 €,44.3,1,4,10245,Friedrichshain,"Grünberger Straße 52, Friedrichshain, Berlin"
Apartment,Berlin,178.000 €,36.1,1,4,10245,Friedrichshain,"Grünberger Straße 52, Friedrichshain, Berlin"
Apartment,Berlin,305.000 €,69.6,2,3,10245,Friedrichshain,"Grünberger Straße 52, Friedrichshain, Berlin"
Apartment,Berlin,398.000 €,91.3,3,3,10245,Friedrichshain,"Grünberger Straße 52, Friedrichshain, Berlin"
Apartment,Berlin,330.000 €,63.2,2,3,10245,Friedrichshain,"Grünberger Straße 52, Friedrichshain, Berlin"
Apartment,Berlin,1.250.000 €,133,2,N/A,10247,Friedrichshain,"Friedrichshain, Berlin"
Apartment,Berlin,295.000 €,68.5,2,2,10245,Friedrichshain,"Grünberger Straße 52, Friedrichshain, Berlin"
Apartment,Berlin,170.000 €,35.4,1,2,10245,Friedrichshain,"Grünberger Straße 52, Friedrichshain, Berlin"
Apartment,Berlin,398.000 €,76.7,2,1,10245,Friedrichshain,"Grünberger Straße 52, Friedrichshain, Berlin"
Apartment,Berlin,298.000 €,67.5,2,1,10245,Friedrichshain,"Grünberger Straße 52, Friedrichshain, Berlin"
Apartment,Berlin,475.000 €,111.7,4,1,10245,Friedrichshain,"Grünberger Straße 52, Friedrichshain, Berlin"
Apartment,Berlin,182.000 €,38.6,1,1,10245,Friedrichshain,"Grünberger Straße 52, Friedrichshain, Berlin"
Apartment,Berlin,178.000 €,41.6,1,,10245,Friedrichshain,"Grünberger Straße 52, Friedrichshain, Berlin"
Apartment,Berlin,390.000 €,99.8,3,1,10243,Friedrichshain,"Palisadenstraße 58, Friedrichshain, Berlin"
Apartment,Berlin,590.000 €,100.3,3,1,10243,Friedrichshain,"Palisadenstraße 58, Friedrichshain, Berlin"
Apartment,Berlin,375.000 €,62,2,3,10243,Friedrichshain,"Palisadenstraße 58, Friedrichshain, Berlin"
Apartment,Berlin,390.000 €,91.4,3,2,10243,Friedrichshain,"Palisadenstraße 58, Friedrichshain, Berlin"
Apartment,Berlin,398.000 €,100,3,3,10243,Friedrichshain,"Palisadenstraße 58, Friedrichshain, Berlin"
Apartment,Berlin,259.000 €,67.9,2,N/A,13125,Buch,"Buch, Berlin"
Apartment,Berlin,759.000 €,105,4,1,14169,Zehlendorf,"Colmarer Weg / Mörchinger Str., Zehlendorf, Berlin"
Apartment,Berlin,1.050.000 €,116,4,4,10115,Mitte,"Mitte, Berlin"
Apartment,Berlin,379.000 €,80,3,3,13353,Wedding,"Wedding, Berlin"
Apartment,Berlin,235.000 €,37.7,1,5,12489,Adlershof,"Adlershof, Berlin"
Apartment,Berlin,896.000 €,109,4,,12159,Friedenau,"Friedenau, Berlin"
Apartment,Berlin,1.490.000 €,233,6,3,14050,Westend,"Westend, Berlin"
Apartment,Berlin,890.000 €,116,5,N/A,10715,Wilmersdorf,"Wilmersdorf, Berlin"
Apartment,Berlin,249.990 €,50.3,2,2,10115,Mitte,"Mitte, Berlin"
Apartment,Berlin,999.000 €,122,5,N/A,10179,Mitte,"Mitte, Berlin"
Apartment,Berlin,200.000 €,36,1,N/A,14193,Schmargendorf,"Schmargendorf, Berlin"
Apartment,Berlin,159.000 €,48.5,2,N/A,12203,Lichterfelde,"Lichterfelde, Berlin"
Apartment,Berlin,345.000 €,79.9,4,4,10965,Kreuzberg,"Großbeerenstraße 46, Kreuzberg, Berlin"
Apartment,Berlin,299.000 €,66,2,N/A,10587,Charlottenburg,"Charlottenburg, Berlin"
Apartment,Berlin,248.000 €,58,2,2,10965,Kreuzberg,"Großbeerenstraße 46, Kreuzberg, Berlin"
Apartment,Berlin,115.000 €,26.3,1,1,10965,Kreuzberg,"Großbeerenstraße 46, Kreuzberg, Berlin"
Apartment,Berlin,349.000 €,63,2,N/A,14057,Charlottenburg,"Charlottenburg, Berlin"
Apartment,Berlin,330.000 €,78.5,4,1,10965,Kreuzberg,"Großbeerenstraße 46, Kreuzberg, Berlin"
Apartment,Berlin,1.250.000 €,177,6,N/A,12159,Friedenau,"Friedenau, Berlin"
Apartment,Berlin,262.000 €,66.6,3,,10965,Kreuzberg,"Großbeerenstraße 46, Kreuzberg, Berlin"
Apartment,Berlin,287.000 €,85,4,N/A,12459,Oberschöneweide,"Oberschöneweide, Berlin"
Apartment,Berlin,252.000 €,57.7,2,3,10965,Kreuzberg,"Großbeerenstraße 45, Kreuzberg, Berlin"
Apartment,Berlin,249.000 €,55,2,N/A,12247,Lankwitz,"Lankwitz, Berlin"
Apartment,Berlin,268.000 €,58.1,2,3,10965,Kreuzberg,"Großbeerenstraße 44, Kreuzberg, Berlin"
Apartment,Berlin,380.000 €,65,2,4,13407,Reinickendorf,"Roedernallee 177, Reinickendorf, Berlin"
Apartment,Berlin,330.000 €,78.3,4,1,10965,Kreuzberg,"Großbeerenstraße 44, Kreuzberg, Berlin"
Apartment,Berlin,380.000 €,65,2,4,13407,Reinickendorf,"Roedernallee 177, Reinickendorf, Berlin"
Apartment,Berlin,345.000 €,81.2,5,3,10965,Kreuzberg,"Großbeerenstraße 43, Kreuzberg, Berlin"
Apartment,Berlin,595.000 €,75,3,1,10247,Friedrichshain,"Friedrichshain, Berlin"
Studio,Berlin,545.000 €,75.5,5,1,10709,Wilmersdorf,"Bielefelder Straße, Wilmersdorf, Berlin"
Apartment,Berlin,529.000 €,72,3,N/A,10713,Wilmersdorf,"Wilmersdorf, Berlin"
Apartment,Berlin,499.000 €,83.3,3,1,Unknown,Unknown,Unknown
Apartment,Berlin,359.000 €,61,2,1,10559,Moabit,"Lübecker Straße 29, Moabit, Berlin"
Studio,Berlin,253.200 €,32,1,3,13187,Pankow,"Damerowstr. 63, Pankow, Berlin"
Apartment,Berlin-Gesundbrunnen,459.000 €,73,2,1,10407,Prenzlauer Berg,"Prenzlauer Berg, Berlin"
Apartment,Berlin,673.611 €,89.2,3,5,13355,Gesundbrunnen,"Usedomer Straße 23, Gesundbrunnen, Berlin-Gesundbrunnen"
Apartment,Berlin,190.000 €,58.4,2,4,10407,Prenzlauer Berg,"Prenzlauer Berg, Berlin"
Apartment,Berlin,280.000 €,65,2,1,12049,Neukölln,"Neukölln, Berlin"
Apartment,Berlin,850.000 €,91,3,4,13359,Gesundbrunnen,"Gesundbrunnen, Berlin"
Apartment,Berlin,398.000 €,90,3,,10405,Prenzlauer Berg,"Saarbrücker Str. 16, Prenzlauer Berg, Berlin"
Apartment,Berlin,380.000 €,54,2,1,13127,Französisch Buchholz,"Ludwig-Quidde-Str.9, Französisch Buchholz, Berlin"
